bank_name|bank_link|city|state|closing_date|assets|deposit|acquirer_notes
ANB Financial National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anb.html|Bentonville|AR|May 9, 2008|$2,100.0|$1,800.0|Pulaski Bank and Trust Company, Little Rock, AR agreed to assume the non-brokered insured deposits (approximately $212.9 million).
Hume Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hume.html|Hume|MO|March 7, 2008|$18.7|$13.6|Security Bank, Rich Hill, MO agreed to assume the insured deposits (approximately $12.5 million).
Douglass National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglass.html|Kansas City|MO|January 25, 2008|$58.5|$53.8|Liberty Bank and Trust Company of New Orleans, LA agreed to assume all deposits (approximately $53.8 million).
First Federal Bank of California F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ca.html|Santa Monica|CA|December 18, 2009|$6,100.0|$4,500.0|OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits.
Imperial Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialcapital.html|La Jolla|CA|December 18, 2009|$4,000.0|$2,800.0|City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits.
Independent Bankers' Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ibb.html|Springfield|IL|December 18, 2009|$585.5|$511.5|The FDIC created a bridge bank, Independent Bankers' Bank Bridge Bank (IBB Bridge Bank, National Association), to take over operations.
New South Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newsouth.html|Irondale|AL|December 18, 2009|$1,500.0|$1,200.0|Beal Bank, Plano, TX has agreed to assume all deposits.
Citizens State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensstate-mi.html|New Baltimore|MI|December 18, 2009|$168.6|$157.1|The FDIC created a bridge bank, Deposit Insurance National Bank of New Baltimore, New Baltimore, MI, to take over operations.
Peoples First Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesfirst-fl.html|Panama City|FL|December 18, 2009|$1,800.0|$1,700.0|Hancock Bank, Gulfport, MS has agreed to assume all deposits, excluding certain brokered deposits.
RockBridge Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockbridge.html|Atlanta|GA|December 18, 2009|$294.0|$291.7|The FDIC has approved the payout of the insured deposits of RockBridge Commercial Bank.
SolutionsBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/solutions.html|Overland Park|KS|December 11, 2009|$511.1|$421.3|Arvest Bank, Fayetteville, AR has agreed to assume all deposits, excluding certain brokered deposits.
Valley Capital Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/valleycapital.html|Mesa|AZ|December 11, 2009|$40.3|$41.3|Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits.
Republic Federal Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/republicfederal.html|Miami|FL|December 11, 2009|$433.0|$352.7|1st United Bank, Boca Raton, FL has agreed to assume all deposits, excluding certain brokered deposits.
Greater Atlantic Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlantic-va.html|Reston|VA|December 4, 2009|$203.0|$179.0|Sonabank, McLean, VA has agreed to assume all deposits.
Benchmark Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/benchmark-il.html|Aurora|IL|December 4, 2009|$170.0|$181.0|MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
AmTrust Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrust.html|Cleveland|OH|December 4, 2009|$12,000.0|$8,000.0|New York Community Bank, Westbury, NY has agreed to assume all deposits.
The Tattnall Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tattnall.html|Reidsville|GA|December 4, 2009|$49.6|$47.3|HeritageBank of the South, Albany, GA has agreed to assume all deposits, excluding certain brokered deposits.
First Security National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsecurity.html|Norcross|GA|December 4, 2009|$128.0|$123.0|State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits.
The Buckhead Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/buckheadcommunity.html|Atlanta|GA|December 4, 2009|$874.0|$838.0|State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits.
Commerce Bank of Southwest Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commercesw-fl.html|Fort Myers|FL|November 20, 2009|$79.7|$76.7|Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits.
Pacific Coast National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificcoastnatl.html|San Clemente|CA|November 13, 2009|$134.4|$130.9|Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits.
Orion Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/orion-fl.html|Naples|FL|November 13, 2009|$2,700.0|$2,100.0|IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits.
Century Bank a Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centuryfsb.html|Sarasota|FL|November 13, 2009|$728.0|$631.0|IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits.
United Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ucb.html|San Francisco|CA|November 6, 2009|$11,200.0|$7,500.0|East West Bank, Pasadena, CA has agreed to assume all deposits, excluding certain brokered deposits.
Gateway Bank of St. Louis|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gateway-mo.html|St. Louis|MO|November 6, 2009|$27.7|$27.9|Central Bank of Kansas City, Kansas City, MO has agreed to assume all deposits.
Prosperan Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/prosperan.html|Oakdale|MN|November 6, 2009|$199.5|$175.6|Alerus Financial, National Association, Grand Forks, ND has agreed to assume all deposits, excluding certain brokered deposits.
Home Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homefsb-mi.html|Detroit|MI|November 6, 2009|$14.9|$12.8|Liberty Bank and Trust Company, New Orleans, LA has agreed to assume all deposits.
United Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedsecurity-ga.html|Sparta|GA|November 6, 2009|$157.0|$150.0|Ameris Bank, Moultrie, GA has agreed to assume all deposits, excluding certain brokered deposits.
North Houston Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northhouston-tx.html|Houston|TX|October 30, 2009|$326.2|$308.0|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Madisonville State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/madisonville-tx.html|Madisonville|TX|October 30, 2009|$256.7|$225.2|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Citizens National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-teague.html|Teague|TX|October 30, 2009|$118.2|$97.7|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Park National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/park-il.html|Chicago|IL|October 30, 2009|$4,706.1|$3,730.9|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Pacific National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificnational-ca.html|San Francisco|CA|October 30, 2009|$2,335.3|$1,762.8|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
California National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/calnational.html|Los Angeles|CA|October 30, 2009|$7,792.2|$6,160.4|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
San Diego National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sandiegonational.html|San Diego|CA|October 30, 2009|$3,608.1|$2,892.4|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Community Bank of Lemont|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-lemont.html|Lemont|IL|October 30, 2009|$81.8|$81.2|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
Bank USA National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankusa-az.html|Phoenix|AZ|October 30, 2009|$212.8|$117.1|U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits.
First DuPage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstdupage.html|Westmont|IL|October 23, 2009|$279.0|$254.0|First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits.
Riverview Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverview-mn.html|Otsego|MN|October 23, 2009|$108.0|$80.0|Central Bank, Stillwater, MN has agreed to assume all deposits.
Bank of Elmwood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elmwood.html|Racine|WI|October 23, 2009|$327.4|$273.2|Tri City National Bank, Oak Creek, WI has agreed to assume all deposits, excluding certain brokered deposits.
Flagship National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/flagship.html|Bradenton|FL|October 23, 2009|$190.0|$175.0|First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits.
Hillcrest Bank Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-fl.html|Naples|FL|October 23, 2009|$83.0|$84.0|Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits, excluding certain brokered deposits.
American United Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanunited.html|Lawrenceville|GA|October 23, 2009|$111.0|$101.0|Ameris Bank, Moultrie, GA has agreed to assume all deposits.
Partners Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/partners-fl.html|Naples|FL|October 23, 2009|$65.5|$64.9|Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits.
San Joaquin Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanjoaquin.html|Bakersfield|CA|October 16, 2009|$775.0|$631.0|Citizens Business Bank, Ontario, CA has agreed to assume all deposits, excluding certain brokered deposits.
Southern Colorado National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scnb-co.html|Pueblo|CO|October 2, 2009|$39.5|$31.9|Legacy Bank, Wiley, CO has agreed to assume all deposits.
Jennings State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jennings-mn.html|Spring Grove|MN|October 2, 2009|$56.3|$52.4|Central Bank, Stillwater, MN has agreed to assume all deposits.
Warren Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warren-mi.html|Warren|MI|October 2, 2009|$538.0|$501.0|The Huntington National Bank, Columbus, OH has agreed to assume all deposits, excluding certain brokered deposits.
Georgian Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgian.html|Atlanta|GA|September 25, 2009|$2,000.0|$2,000.0|First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits.
Irwin Union Bank F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-ky.html|Louisville|KY|September 18, 2009|$493.0|$441.0|First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits.
Irwin Union Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-in.html|Columbus|IN|September 18, 2009|$2,700.0|$2,100.0|First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits.
Venture Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/venture-wa.html|Lacey|WA|September 11, 2009|$970.0|$903.0|First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits.
Brickwell Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/brickwell-mn.html|Woodbury|MN|September 11, 2009|$72.0|$63.0|CorTrust Bank National Association, Mitchell, SD has agreed to assume all deposits, excluding certain brokered deposits.
Corus Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/corus.html|Chicago|IL|September 11, 2009|$7,000.0|$7,000.0|MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststate-az.html|Flagstaff|AZ|September 4, 2009|$105.0|$95.0|Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits.
Platinum Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/platinum-il.html|Rolling Meadows|IL|September 4, 2009|$345.6|$305.0|The FDIC has approved the payout of the insured deposits Platinum Community Bank.
Vantus Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantus.html|Sioux City|IA|September 4, 2009|$458.0|$368.0|Great Southern Bank, Springfield, MO has agreed to assume all deposits.
InBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inbank.html|Oak Forest|IL|September 4, 2009|$212.0|$199.0|MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
First Bank of Kansas City|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankkc-mo.html|Kansas City|MO|September 4, 2009|$16.0|$15.0|Great American Bank, De Soto, KS has agreed to assume all deposits.
Affinity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/affinity-ca.html|Ventura|CA|August 28, 2009|$1,000.0|$922.0|Pacific Western Bank, San Diego, CA has agreed to assume all deposits, excluding certain brokered deposits.
Mainstreet Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet-mn.html|Forest Lake|MN|August 28, 2009|$459.0|$434.0|Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits.
Bradford Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bradford-md.html|Baltimore|MD|August 28, 2009|$452.0|$383.0|Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits.
Guaranty Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty-tx.html|Austin|TX|August 21, 2009|$13,000.0|$12,000.0|BBVA Compass, Birmingham, AL has agreed to assume all deposits, excluding certain brokered deposits.
CapitalSouth Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitalsouth.html|Birmingham|AL|August 21, 2009|$617.0|$546.0|IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits.
First Coweta Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coweta.html|Newnan|GA|August 21, 2009|$167.0|$155.0|United Bank, Zebulon, GA, has agreed to assume all deposits, excluding certain brokered deposits.
ebank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ebank.html|Atlanta|GA|August 21, 2009|$143.0|$130.0|Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits.
Community Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-nv.html|Las Vegas|NV|August 14, 2009|$1,520.0|$1,380.0|"The FDIC has created the Deposit Insurance National Bank of Las Vegas, NV (""DINB of Las Vegas"") to facilitate the resolution of Community Bank of Nevada, Las Vegas, NV."
Community Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-az.html|Phoenix|AZ|August 14, 2009|$158.5|$143.8|MidFirst Bank, Oklahoma City, OK, has agreed to assume all deposits, excluding certain brokered deposits (approximately $143.8 million).
Union Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/union-az.html|Gilbert|AZ|August 14, 2009|$124.0|$112.0|MidFirst Bank, Oklahoma City, OK, has agreed to assume all non-brokered deposits.
Colonial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/colonial-al.html|Montgomery|AL|August 14, 2009|$25,000.0|$20,000.0|Branch Banking and Trust Company (BB&T), Winston-Salem, NC, has agreed to assume all deposits.
